mol_canonical_id,mol_id,mol_name,smiles
MOL_27266f92a3aa,Target_lig_331,preQ1 (7-Aminomethyl-7-deazaguanine),C1=C(C2=C(N1)N=C(NC2=O)N)CN
MOL_9a96f1533764,Target_lig_234,Pristinamycin IIA,CC1C=CC(=O)NCC=CC(=CC(CC(=O)CC2=NC(=CO2)C(=O)N3CCC=C3C(=O)OC1C(C)C)O)C
MOL_5ac1670183df,Target_lig_359,Bifunctional_aminoglycoside_derivative_7,[C@H]1([C@H]([C@@H]([C@H]([C@@H](C1)N)OC[C@@H](CN(CCCCCCN(C)C[C@H](CO[C@@H]1O[C@H]([C@@H]([C@@H]([C@H]1N)O)O)CN)O)C)O)O)O)N
MOL_d52e62a0e2a9,Target_lig_282,Perazidoparomomycin derivative 9,[C@@H]1([C@@H]([C@H]([C@H](O[C@H]1CNN)O[C@H]1[C@@H]([C@H]([C@H](C[C@H]1N)N)O)O[C@H]1O[C@@H]([C@H]([C@@H]1O)O[C@@H]1CO[C@@H]([C@@H]([C@H]1O)O)CN)CO)N)O)O
MOL_f42c2c9342a1,Target_lig_770,Neomycin-4e,NCC1OC(OC2C(Cn3nnc(c3)Oc3ccc(cc3)C(=O)Nc3cccc(c3)c3csc(n3)NC(=O)C)OC(C2O)OC2C(O)C(N)CC(C2OC2OC(CN)C(C(C2N)O)O)N)C(C(C1O)O)N
MOL_7fe16d33c9f4,Target_lig_627,Targaprimir-96,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1
MOL_466bf90ab091,Target_lig_571,dicarba_analog_1,N([C@H](C(=O)N1[C@H](CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN)C/C=C/C[C@H](NC(=O)c1c(nc2c(c1)cccc2)CC)C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN)C(=O)c1c2c(nc(c1)CC)cccc2
MOL_40c11f79aa5d,Target_lig_1233,SL3_compound_6,C[N+](CCN[N+]1(C)CCCc2c1cccc2)(C)C
MOL_dd08018a0f93,Target_lig_723,Quindoline CK1-14,C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1
MOL_e84191b43f4f,Target_lig_176,Acetylpromazine,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C
MOL_af4950dde78d,Target_lig_1130,Rbt551,NCCCOc1ccc(cc1CNCCC1CCNCC1)c1ccc2c(c1)oc(c2)C(=O)NC
MOL_21130ab98c78,Target_lig_1202,Neamine_derivative_15,N[C@@H]1C[C@H](N)[C@H]([C@@H]([C@H]1OCn1c2ccccc2nc1C(F)(F)F)O)O
MOL_6b2532da2c71,Target_lig_97,methylpyridine_der_6,CC1=NC(=CC=C1)NCCN
MOL_be9f27d32893,Target_lig_314,S-adenosyl methionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
MOL_4917cf09b3e3,Target_lig_1260,Lysine Analog 8,[NH3+]CCS(=O)(=O)C[C@H]([NH3+])C([O-])=O
MOL_34523ebb8cb7,Target_lig_1283,Compd 43,NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(CC2N)O)N)C(C(C1OC1OC(CO)C(C(C1N)O)O)N)O
MOL_203281ca3973,Target_lig_449,benzimidazole_analog_rRNA_33,C1CNCCC1C2=NC3=CC(=C(C=C3N2CC4=CC=C(C=C4)Br)Cl)Cl
MOL_b2d01ba94218,Target_lig_781,Compound 1b,CCCN(C(=O)CNCc1nnn(c1)N=[N+]=Nn1nnc(c1)CO)CC(=O)N(CC(=O)N(CC(=O)N(CC(=O)N(CC(=O)N)CCC)CCC)CCC)CCC
MOL_412b9b646fdf,Target_lig_708,Targaprimir-18a,C[NH+]1CCN(CC1)C1=CC=C(C=C1)C1=CC=C2NC(=NC2=C1)C1=CC(=C(OCCCC(=O)NCCCN=[N+]=[N-])C(=C1)C(C)(C)C)C(C)(C)C
MOL_e9fc58653da1,Target_lig_306,Sparsomycin,CC1=C(C(=O)NC(=O)N1)C=CC(=O)NC(CO)CS(=O)CSC
MOL_28bb9ed8acb4,Target_lig_514,butanediamide derivative_1,CCc1nc2c(cccc2)cc1C(=O)N1CCC[C@@H]1C(=O)N[C@H](CSSC[C@@H](NC(=O)[C@H](NC(=O)c1c(CC)nc2c(cccc2)c1)CC(=O)N)C(=O)N[C@@H](CCCCN)C(=O)NCCCN)C(=O)N[C@@H](CCCCN)C(=O)NCCCN
MOL_66a6d532363d,Target_lig_563,MBNL CCUG ligand 3,c12cc(ccc1c(c1c(n2)ccc(c1)OC)NCCCCc1c(nc(nc1N)N)N)Cl
MOL_9b8b0abaed1d,Target_lig_5,Paromomycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N
MOL_99e48d6a013f,Target_lig_1137,B-11,N[C@@H]1C[C@H](N)[C@H]([C@H]([C@H]1OCCCc1nnn(c1)Cc1ccc(cc1)Cn1nnc(c1)CCCO[C@@H]1[C@H](N)C[C@H]([C@@H]([C@H]1O)O)N)O)O
MOL_463b7a8d5dbc,Target_lig_7,kanamycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N
MOL_45b22ec1446d,Target_lig_4,Neomycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N
MOL_a544caf07851,Target_lig_621,ligand 3-3,O1COc2c1cc(C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)NCCCN)CCCCN)CSSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)c3cc4OCOc4cc3)C(=O)N[C@H](C(=O)NCCCN)CCCCN)CCC1)cc2
MOL_2e2cfa96d3dc,Target_lig_719,Anthrafurandione 2a,[NH3+]CCNC1=C2OC=CC2=C(NCC[NH3+])C2=C1C(=O)C1=CC=CC=C1C2=O
MOL_04fe6d3be6ce,Target_lig_8,KANAMYCIN B,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)N)N
MOL_5423d879be34,Target_lig_966,Compound9,CN1CCN(CC1)c1ccc(cc1)c1ccc2c(c1)[nH]c(n2)c1ccc(cc1)OCCCC(=O)N1CCN(CC1)c1nncc2c1ccs2
MOL_36139c21dbd9,Target_lig_264,Aminoglycoside derivative 15,[C@H]1([C@H]([C@@H]([C@H](O[C@H]1CO)O[C@H]1[C@@H]([C@@H]([C@@H](C[C@H]1N)N)O)O[C@H]1OC[C@@H]([C@H]1OCCNCCc1ccccc1)O[C@@H]1[C@H]([C@@H](C[C@@H](O1)CN)O)N)N)O)O
MOL_d5a9cf8de329,Target_lig_1247,Lividomycin A,C1C(C(C(C(C1N)OC2C(CC(C(O2)CO)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)OC5C(C(C(C(O5)CO)O)O)O)O)N)O)O)N
MOL_a307ea538c8f,Target_lig_502,Thiamine_mol,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
MOL_8fc33b3027f6,Target_lig_676,Compound 2,NC(=[NH2+])C1=CC=C(NC2=CC=C(C=C2)C2=CC3=CC=C(C=C3N2)C(N)=[NH2+])C=C1
MOL_c772385f3540,Target_lig_160,7-methylxanthine,CN1C=NC2=C1C(=O)NC(=O)N2
MOL_5a24795ab889,Target_lig_308,Malachite green,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-]
MOL_9ccf99c44ffe,Target_lig_1008,miR-21 binder compound 1,N=[N+]=NCCCNC(=O)CCCOc1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)N1CCN(CC1)C
MOL_e644c1e41c27,Target_lig_736,Aniline_analog_12,OC(Cn1c2ccc(cc2c2c1ccc(c2)Br)Br)CNc1ccc2c(c1)cccc2
MOL_2fd86b8afdf7,Target_lig_1067,Hit S1,C1COCC1C2=NOC(=N2)C3=CC(=CC(=C3)CN)NC(=O)C4=CC=CC=N4
MOL_906da28fcba7,Target_lig_132,1-(4-chlorobenzyl)-N-(2-morpholinoethyl)piperidine-4-carboxamide,C1CN(CCC1C(=O)NCCN2CCOCC2)CC3=CC=C(C=C3)Cl
MOL_c73a5e7d3412,Target_lig_210,3_phenothiazine_analog_1,c1c(ccc2Sc3ccccc3N(c12)CCCNCN(CO)CO)C(=O)C
MOL_619e8262b569,Target_lig_1057,NRAS SAR 7,C1=CC=C(C=C1)C2=NN=C(O2)C3=NC4=CC=CC=C4C(=N3)NCCC5=CC=CS5
MOL_cec15e58db02,Target_lig_717,DB1247,NC(=[NH2+])C1=CC=C(N=C1)C1=CC=C(S1)C1=CC=C(S1)C1=NC=C(C=C1)C(N)=[NH2+]
MOL_49f61a2f8ea6,Target_lig_658,DCC 3 (2017),CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
MOL_e3e9d1e7e7c0,Target_lig_168,"2,6- diaminopurine",C1=NC2=NC(=NC(=C2N1)N)N
MOL_c8c1318f2c84,Target_lig_540,Tobramycin,[C@H]1([C@H](C[C@H]([C@H]([C@H]1O)O[C@@H]1[C@@H](C[C@@H]([C@@H](O1)CN)O)N)N)N)O[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)CNc1c2ccccc2nc2c1cccc2)O)N)O
MOL_9012440eee65,Target_lig_280,Perazidoparomomycin derivative 6,[C@@H]1([C@H]([C@H]([C@H](O[C@@H]1CNCCCCN)O[C@H]1[C@@H]([C@H]([C@H](C[C@H]1N)N)O)O[C@H]1O[C@@H]([C@H]([C@@H]1O)O[C@@H]1CO[C@H]([C@@H]([C@H]1O)O)CN)CO)N)O)O
MOL_74c8da9b7d4e,Target_lig_63,Streptomycin,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O
MOL_54f8c2c3afbb,Target_lig_209,hydroxymethyl_piperidinyl_pentyl,c1c(ccc2Sc3ccccc3N(c12)CCCCCN1CCC[C@H](C1)CO)C(=O)C
MOL_00284f166e1e,Target_lig_1138,B-13,N[C@@H]1C[C@H](N)[C@H]([C@H]([C@H]1OCCCc1nnn(c1)Cc1c(C)cc(c(c1C)Cn1nnc(c1)CCCO[C@@H]1[C@H](N)C[C@H]([C@@H]([C@H]1O)O)N)C)O)O
MOL_c6957db1821d,Target_lig_618,SL3 RNA_ligand15,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3C[C@H]4CCCO4)C(=O)N5CCN(CC5)C
MOL_efd9222aefba,Target_lig_607,SL3 RNA_ligand4,COC1=C(C=C(C=C1)NCC2=CC=C(S2)[N+](=O)[O-])OC
MOL_3a486f0fe9d5,Target_lig_761,Neomycin-S,NCC1OC(OC2C(Cn3nnc(c3)CCC(=O)Nc3cccc(c3)c3csc(n3)NC(=O)C)OC(C2O)OC2C(O)C(N)CC(C2OC2OC(CN)C(C(C2N)O)O)N)C(C(C1O)O)N
MOL_78828b1bf1b1,Target_lig_387,Acyclic DOS mimic 1_biphenyl substituent,c1cccc(c1)c1ccc(cc1)CO[C@H](CO[C@@H]1O[C@@H]([C@H](O)[C@@H](O)[C@H]1N)CN)CN
MOL_337c7cb9d43e,Target_lig_701,DPQ,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CC[NH2+]CC3)N)OC
MOL_e8afed2c9e1c,Target_lig_293,Perazidoparomomycin derivative 20,[C@@H]1([C@@H]([C@H]([C@H](O[C@H]1CN[C@@H]([C@@H](c1ccccc1)O)C)O[C@H]1[C@@H]([C@H]([C@H](C[C@H]1N)N)O)O[C@H]1O[C@@H]([C@H]([C@@H]1O)O[C@@H]1CO[C@@H]([C@@H]([C@H]1O)O)CN)CO)N)O)O
MOL_90032740eb3f,Target_lig_722,SMN-C2,CC[NH+]1CCN(C[C@@H]1C)C1=CC=C2C=C(C3=CN4C=C(C)N=C(C)C4=N3)C(=O)OC2=C1
MOL_884d1b0f3dfb,Target_lig_10,sisomicin,CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O
MOL_15b74d1713f0,Target_lig_81,"1H-1,3-benzodiazol-2-amine",C1=CC=C2C(=C1)NC(=N2)N
MOL_9d154e1b8108,Target_lig_993,Tobramycin-CRT,OCC1OC(OC2C(N)CC(C(C2O)OC2OC(CNC(=O)c3ccc(c(c3)C(=O)O)c3c4ccc(=[N+](C)C)cc4oc4c3ccc(c4)N(C)C)C(CC2N)O)N)C(C(C1O)N)O
MOL_f4d763001f6e,Target_lig_1236,CRG,CNC1C(O)C(OCC1(C)O)OC1C(N)CC(C(C1O)OC1OC(CCC1N)C(CCNC(=O)c1ccc(c(c1)C(=O)O)c1c2ccc(=[N+](C)C)cc2oc2c1ccc(c2)N(C)C)C)N
MOL_fb54fd023272,Target_lig_148,neocarzinostatin,CC1C(C(C(C(O1)OC2C3CC#CC4C(O4)(C#CC3=CC2OC(=O)C5=C(C=CC6=C5C=C(C=C6C)OC)O)C7COC(=O)O7)NC)O)O
MOL_faed6a8621cd,Target_lig_373,Neamine mimic_7,[C@H]1([C@H]([C@@H]([C@@H](O[C@@H]1CN)O[C@@H]1[C@@H]([C@H](O[C@H]([C@@H]1N)OC)CN)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)C)N)O)O)N)O)O
MOL_a4695668072b,Target_lig_997,Compound C2-Ak,C#CCc1nc(Nc2nccc(c2)Nc2ccc3c(n2)cccc3)cc(n1)N1CCN(CC1)C
MOL_c4e87517a068,Target_lig_419,Halogen substituted benzimidazole,C1CNCCC1C2=NC3=CC(=C(C=C3N2)Cl)Cl
MOL_978e3b79ec86,Target_lig_751,Neomycin_nucleobase_3a,NCC1OC(OC2C(Cn3nnc(c3)Cn3cnc4c3ncnc4N)OC(C2O)OC2C(O)C(N)CC(C2OC2OC(CN)C(C(C2N)O)O)N)C(C(C1O)O)N
MOL_1727b522baa5,Target_lig_110,3-(azepan-1-ylmethyl)-2-methylquinolin-4-ol,CC1=C(C(=O)C2=CC=CC=C2N1)CN3CCCCCC3
MOL_e31c007cab21,Target_lig_1263,Targapremir-210-RL,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=CC=C6)OCCCC(=O)NCCCN=[N+]=[N-]
MOL_e46fee9a5126,Target_lig_175,Amikacin,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
MOL_47df134e0c32,Target_lig_311,Paromamine,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)O)O)N
MOL_4e714d66c62c,Target_lig_1163,Compd 36,NCC1OC(OC2C(N)CC(C(C2O)OC2OC(COC3OC(CO)C(C(C3N)O)O)C(C(C2N)O)O)N)C(CC1O)N
MOL_f8d6b5363b65,Target_lig_1159,Compd 37,NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(CC2N)O)N)C(C(C1O)OC1OC(CO)C(C(C1O)O)N)O
MOL_71aa8d77dfad,Target_lig_170,quinolinediamine_trimethyl_der,CC1=CC(=NC2=C1C=CC(=C2)N)N(C)C
MOL_6d0c74b5e60c,Target_lig_426,benzimidazole_analog_rRNA_9,C1CC(CCC1C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-])N
MOL_83c1766df5b2,Target_lig_851,AU-azide,N=[N+]=NCCCNC(=N)c1ccc(cc1)c1ccc(o1)c1ccc(cc1)C(=N)N
MOL_0cd098a0f815,Target_lig_119,"8-methyl-3-(2-(pyrrolidin-1-yl)ethyl)-3H-pyrimido[5,4-b]indol-4(5H)-one",CC1=CC2=C(C=C1)NC3=C2N=CN(C3=O)CCN4CCCC4
MOL_dd8b5280f1cf,Target_lig_654,Compound 4E,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N(C)[C@@H](C\C=C\C[C@H](N(C)C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
MOL_db2797169a54,Target_lig_92,methylpyridine_der_1,CC1=C(N=CC=C1)NCCN
MOL_0ab787b26bea,Target_lig_1015,ATMND-C4-NH2,NCCCCNc1ccc2c(n1)nc(c(c2C)C)C
MOL_89066f5c6773,Target_lig_318,Thiamine_Pyrophosphate(TPP),CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)[O-]
MOL_b24e573d9d95,Target_lig_317,Telithromycin,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C
MOL_0bbab7aaaeb1,Target_lig_657,S-Amino acid conjugate 14b,CC(=O)NC1=NC(=CS1)C1=CC(NC(=O)C(CNC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])=CC=C1
MOL_3342bb606392,Target_lig_67,FAD,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
MOL_65c67886c8f5,Target_lig_700,ST4133609,CC1=NC2=C(C=C1)C(=C(S2)C(=O)NC3=CC=CC(=C3)C(F)(F)F)N
MOL_f187bac3d24d,Target_lig_1092,Curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
MOL_1ed42f674019,Target_lig_778,Targapremir-515/885,N=[N+]=NCCCNC(=O)CCCOc1c(cc(cc1C(C)(C)C)c1nc2c([nH]1)ccc(c2)c1nc2c([nH]1)cc(cc2)N1CCN(CC1)C)C(C)(C)C
MOL_340df21d4ef0,Target_lig_549,DOS_der_4,OCc1ccc(cc1)CCc1ccc(cc1)CO[C@H]1[C@@H](C[C@H](N)[C@@H](O)[C@@H]1O)N
MOL_f74a445aa64b,Target_lig_684,H1,C1=CC(=CC(=C1)N)C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=CC=C6)N
MOL_77f27efc7a74,Target_lig_114,"4,6-bis(piperidin-1-ylmethyl)-2-p-tolylpyridin-3-ol",CC1=CC=C(C=C1)C2=C(C(=CC(=N2)CN3CCCCC3)CN4CCCCC4)O
MOL_70e3e96a70e7,Target_lig_222,Anisomycin,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O
MOL_f789c07e4ce8,Target_lig_74,tetracyclin,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
MOL_0b24a4790a4f,Target_lig_277,Perazidoparomomycin derivative 3,[C@@H]1([C@@H]([C@H]([C@H](O[C@H]1CCN1CCOCC1)O[C@H]1[C@@H]([C@H]([C@H](C[C@H]1N)N)O)O[C@H]1O[C@@H]([C@H]([C@@H]1O)O[C@@H]1CO[C@@H]([C@@H]([C@H]1O)O)CN)CO)N)O)O
MOL_114d7b0aee8c,Target_lig_1266,2AU-2,CCCN(C(=O)CN(C(=O)CNCc1nnn(c1)CCCNC(=N)c1ccc(cc1)c1ccc(o1)c1ccc(cc1)C(=N)N)CCC)CC(=O)N(Cc1nnn(c1)CCCNC(=N)c1ccc(cc1)c1ccc(o1)c1ccc(cc1)C(=N)N)CC(=O)N
MOL_ef70321e36c3,Target_lig_245,CMC8_diphenylfuran,CN(C)CCCN=C(C1=CC=CC(=C1)C2=CC=C(O2)C3=CC(=CC=C3)C(=NCCCN(C)C)N)N
MOL_326015a554d5,Target_lig_660,DCC 5 (2017),CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
MOL_8349922a9f67,Target_lig_1238,CRK,OCC1OC(OC2C(N)CC(C(C2O)OC2OC(CNC(=O)c3ccc(c(c3)C(=O)O)c3c4ccc(=[N+](C)C)cc4oc4c3ccc(c4)N(C)C)C(C(C2N)O)O)N)C(C(C1O)N)O
MOL_3f8aa3b61fa5,Target_lig_116,"6-methyl-3-((4-methyl-1,4-diazepan-1-yl)methyl)-4H-chromen-4-one",CC1=CC2=C(C=C1)OC=C(C2=O)CN3CCCN(CC3)C
MOL_351558744966,Target_lig_567,disulfide_der_3,N([C@@H](C(=O)N1[C@@H](CCC1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN)CSSC[C@@H](NC(=O)c1cnc2c(cccc2)c1)C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN)C(=O)c1c2c(ncc1)cccc2
MOL_a696ef2d77cc,Target_lig_1161,Compd 39,NCC1OC(OC2C(N)CC(C(C2O)OC2OC(COC3OC(CN)C(C(C3O)O)O)C(C(C2N)O)N)N)C(CC1O)N
MOL_828d726370a1,Target_lig_9,ribostamycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)O)O)O)N
MOL_665954d2d254,Target_lig_497,ethylquinoline_carboxamide derivative,c1cc(ccc1)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1cc2ccccc2nc1CC)CSSC[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCCCN)Cc1ccccc1)NC(=O)c1c(nc2c(c1)cccc2)CC)C(=O)NCCCN
MOL_98f42973d9f6,Target_lig_1139,B-14,N[C@@H]1C[C@H](N)[C@H]([C@H]([C@H]1OCCCc1nnn(c1)Cc1cccc(n1)Cn1nnc(c1)CCCO[C@@H]1[C@H](N)C[C@H]([C@@H]([C@H]1O)O)N)O)O
MOL_b439d18f478d,Target_lig_729,Aniline_analog_5,CCOc1ccc(cn1)NCC(Cn1c2ccc(cc2c2c1ccc(c2)Br)Br)O
MOL_8a84f2f294f7,Target_lig_965,Compound1,N=[N+]=NCCCNC(=O)CCCOc1ccc(cc1)c1nc2c([nH]1)cc(cc2)c1ccc(cc1)N1CCN(CC1)C
MOL_a128899b8ea9,Target_lig_615,SL3 RNA_ligand12,c12ccccc1C(=O)[C@H]1[C@H](C2=O)C(=CC=C1NCCO)NCCO
MOL_be67401bed93,Target_lig_775,PA-1,CC1(C(C2=CC=CC=C2NC1=NCCCNCCCCNCCCN)N(C)C3=CC=CC=C3)C
MOL_cde35e3a4c02,Target_lig_187,Rbt550,C1CN(CCN1)CCNCC2=C(C=CC(=C2)C3=CC4=C(C=C3)NC=C4)OCCCN
MOL_1851a8b99042,Target_lig_28,Reactive Blue 4,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)S(=O)(=O)O)NC5=NC(=NC(=N5)Cl)Cl)S(=O)(=O)O)N
